has_profile_pic,num_posts,num_followers,num_following,bio_len,text_content,is_fake
0,3,11,1064,0,Make money online fast. Follow for follow back. Visit my profile for more.,1
1,68,222,391,20,Check out my latest photo. Working on my new project. Happy birthday to me!,0
1,47,152,155,25,Happy birthday to me! Exploring new places. Exploring new places.,0
1,22,12,1296,10,Best deals on crypto. Best deals on crypto.,1
1,77,162,463,45,Life is good. Happy birthday to me!,0
1,57,63,155,28,Working on my new project. Loving the weather today.,0
1,84,494,309,53,Had an amazing trip with friends.,0
1,3,7,1254,3,Make money online fast. Earn $500 daily easily! Best deals on crypto.,1
1,62,468,366,36,Just had a great coffee! Life is good.,0
1,0,35,803,1,Make money online fast. Make money online fast. Best deals on crypto.,1
0,1,8,1314,10,Visit my profile for more.,1
0,19,34,1225,5,Win a free iPhone now. Make money online fast.,1
0,2,28,953,3,DM for collaboration. Make money online fast. Win a free iPhone now.,1
1,60,1446,250,28,Check out my latest photo. Happy birthday to me! Loving the weather today.,0
1,0,16,398,19,Learning Python is fun!,0
0,18,8,1458,2,Click here for free money! Earn $500 daily easily!,1
0,5,16,926,3,Cheap luxury bags. Follow for follow back. Make money online fast.,1
1,10,0,1163,1,Make money online fast.,1
1,40,22,510,18,Had an amazing trip with friends.,0
1,10,15,960,7,Follow for follow back. Make money online fast.,1
1,52,19,305,36,Had an amazing trip with friends.,0
0,16,56,926,5,Best deals on crypto.,1
1,70,1418,272,33,Working on my new project.,0
1,1,8,901,0,Discount codes available. Discount codes available. Earn $500 daily easily!,1
1,7,7,1096,11,Best deals on crypto. Win a free iPhone now. Make money online fast.,1
0,3,12,1171,1,Cheap luxury bags.,1
1,71,381,631,31,Working on my new project. Just had a great coffee!,0
1,47,848,53,46,Check out my latest photo. Check out my latest photo. Working on my new project.,0
0,0,49,990,12,Cheap luxury bags. Best deals on crypto.,1
0,3,34,1195,6,Click here for free money! Make money online fast. Click here for free money!,1
1,58,183,230,35,Just had a great coffee!,0
0,0,16,958,0,Click here for free money! Visit my profile for more.,1
0,1,42,874,3,Visit my profile for more.,1
1,0,4,898,2,Visit my profile for more.,1
0,4,19,1230,1,Visit my profile for more. DM for collaboration. Visit my profile for more.,1
0,1,45,959,1,Cheap luxury bags. DM for collaboration.,1
0,2,9,1000,3,Cheap luxury bags. Discount codes available.,1
1,40,661,295,37,Had an amazing trip with friends. Working on my new project. Life is good.,0
1,52,981,342,36,Had an amazing trip with friends. Exploring new places. Life is good.,0
0,0,64,1339,3,Earn $500 daily easily! Win a free iPhone now.,1
0,3,14,1028,9,Discount codes available.,1
0,7,2,698,7,Best deals on crypto. Discount codes available.,1
0,5,0,748,3,Visit my profile for more. Best deals on crypto. Win a free iPhone now.,1
1,50,135,301,54,Check out my latest photo. Learning Python is fun!,0
0,0,31,1217,1,Click here for free money!,1
1,39,1100,309,28,Working on my new project. Can't wait for the weekend! Loving the weather today.,0
0,0,26,942,1,Win a free iPhone now.,1
1,40,292,203,27,Check out my latest photo. Life is good. Happy birthday to me!,0
1,32,256,161,31,Check out my latest photo. Exploring new places. Loving the weather today.,0
1,71,27,410,17,Check out my latest photo. Just had a great coffee!,0
0,20,0,1539,1,Click here for free money! Visit my profile for more. Visit my profile for more.,1
0,1,22,834,1,Best deals on crypto. Click here for free money!,1
1,52,45,406,45,Working on my new project.,0
0,0,13,961,9,Best deals on crypto. Make money online fast. Click here for free money!,1
1,3,3,952,2,Best deals on crypto. Visit my profile for more. Make money online fast.,1
0,0,41,721,15,Best deals on crypto. Visit my profile for more.,1
1,24,427,161,20,Check out my latest photo. Check out my latest photo.,0
0,11,33,1073,2,Follow for follow back. DM for collaboration. Follow for follow back.,1
0,0,18,1332,2,Cheap luxury bags.,1
0,1,5,1186,12,Cheap luxury bags. Follow for follow back.,1
1,60,53,242,32,Had an amazing trip with friends. Happy birthday to me! Just had a great coffee!,0
0,11,71,873,3,Discount codes available. Best deals on crypto. Click here for free money!,1
1,50,59,140,23,Working on my new project. Working on my new project. Check out my latest photo.,0
1,48,159,171,33,Learning Python is fun!,0
1,45,74,134,37,Just had a great coffee! Loving the weather today.,0
0,3,3,1008,3,Make money online fast. Win a free iPhone now.,1
1,58,201,296,26,Exploring new places. Happy birthday to me! Exploring new places.,0
1,16,86,477,43,Learning Python is fun! Happy birthday to me!,0
1,63,545,148,20,Learning Python is fun! Check out my latest photo. Can't wait for the weekend!,0
1,45,689,257,37,Learning Python is fun!,0
0,26,1647,381,34,Happy birthday to me!,0
1,69,365,81,44,Had an amazing trip with friends. Exploring new places. Check out my latest photo.,0
0,3,17,928,4,DM for collaboration. Cheap luxury bags. Click here for free money!,1
0,6,6,844,3,Discount codes available. Follow for follow back. Discount codes available.,1
1,38,1203,347,34,Check out my latest photo.,0
0,1,9,930,11,Cheap luxury bags. Earn $500 daily easily!,1
0,3,6,577,30,Earn $500 daily easily!,1
1,75,804,459,40,Happy birthday to me! Happy birthday to me!,0
0,0,22,1084,3,Cheap luxury bags. Cheap luxury bags.,1
1,18,1680,252,32,Working on my new project.,0
0,2,31,1012,15,Earn $500 daily easily! Discount codes available. Visit my profile for more.,1
1,4,541,200,10,Had an amazing trip with friends. Can't wait for the weekend!,0
1,60,859,286,25,Can't wait for the weekend! Had an amazing trip with friends. Can't wait for the weekend!,0
0,0,22,882,3,DM for collaboration. Follow for follow back. Best deals on crypto.,1
1,57,93,423,30,Just had a great coffee!,0
1,0,19,1176,1,Make money online fast.,1
0,1,23,974,0,Visit my profile for more. Click here for free money! Follow for follow back.,1
0,9,20,837,11,Follow for follow back.,1
0,1,22,945,12,Make money online fast. Click here for free money!,1
0,0,11,1042,0,Win a free iPhone now.,1
1,1,11,1041,1,DM for collaboration.,1
0,4,19,704,1,Win a free iPhone now.,1
1,88,775,322,32,Working on my new project. Happy birthday to me!,0
0,0,12,806,16,Make money online fast. Discount codes available.,1
0,1,2,667,0,Click here for free money! Visit my profile for more. Click here for free money!,1
0,9,48,1093,1,Win a free iPhone now. DM for collaboration.,1
0,6,33,1224,2,Make money online fast.,1
1,50,88,292,35,Working on my new project.,0
0,17,24,894,3,Visit my profile for more.,1
1,48,127,330,37,Had an amazing trip with friends.,0
1,53,401,155,27,Can't wait for the weekend! Can't wait for the weekend!,0
1,40,428,163,30,Life is good. Loving the weather today. Working on my new project.,0
0,2,37,639,9,DM for collaboration. Visit my profile for more. Win a free iPhone now.,1
0,0,12,1063,3,Win a free iPhone now. Follow for follow back.,1
1,74,29,398,39,Happy birthday to me! Happy birthday to me!,0
1,12,137,132,33,Learning Python is fun!,0
1,24,86,225,36,Learning Python is fun! Check out my latest photo. Working on my new project.,0
0,1,11,792,0,Follow for follow back.,1
1,33,1008,227,43,Happy birthday to me! Can't wait for the weekend! Life is good.,0
1,35,588,512,41,Happy birthday to me! Loving the weather today. Happy birthday to me!,0
0,14,40,1247,0,Make money online fast. Make money online fast.,1
1,63,166,138,22,Life is good. Working on my new project.,0
1,56,133,410,46,Exploring new places. Check out my latest photo.,0
0,43,735,470,36,Working on my new project. Happy birthday to me!,0
0,2,69,1194,4,Best deals on crypto. Earn $500 daily easily!,1
1,82,67,266,42,Can't wait for the weekend! Life is good. Working on my new project.,0
0,5,10,828,1,Cheap luxury bags. Win a free iPhone now. Click here for free money!,1
1,73,67,306,41,Exploring new places.,0
1,51,469,233,35,Happy birthday to me!,0
1,74,257,200,27,Loving the weather today.,0
0,8,18,729,17,Follow for follow back.,1
1,73,524,269,35,Working on my new project.,0
1,3,94,1132,0,Make money online fast. Discount codes available. Visit my profile for more.,1
1,64,185,226,14,Working on my new project. Working on my new project. Loving the weather today.,0
1,66,1561,338,23,Just had a great coffee! Happy birthday to me!,0
0,9,0,1180,2,DM for collaboration. Click here for free money!,1
0,8,2,594,11,Visit my profile for more.,1
0,6,15,1129,3,Make money online fast. Click here for free money! Cheap luxury bags.,1
0,10,2,945,1,Make money online fast.,1
1,16,437,234,36,Had an amazing trip with friends. Life is good. Happy birthday to me!,0
1,54,32,301,32,Just had a great coffee! Loving the weather today. Can't wait for the weekend!,0
0,7,26,1292,2,Click here for free money! Follow for follow back. Best deals on crypto.,1
1,69,752,396,22,Can't wait for the weekend!,0
1,46,1043,207,22,Check out my latest photo. Exploring new places.,0
1,31,226,128,36,Can't wait for the weekend! Happy birthday to me!,0
0,2,6,1072,1,Click here for free money! Best deals on crypto.,1
1,46,314,340,0,Working on my new project.,0
1,1,23,957,7,Make money online fast.,1
0,3,19,828,1,Follow for follow back. Best deals on crypto. Make money online fast.,1
1,17,886,180,13,Life is good. Working on my new project. Had an amazing trip with friends.,0
1,7,7,852,6,Follow for follow back. Follow for follow back. Cheap luxury bags.,1
0,12,4,555,0,Visit my profile for more. Make money online fast. Earn $500 daily easily!,1
0,3,2,1253,4,Visit my profile for more. Make money online fast. Best deals on crypto.,1
0,67,387,345,26,Can't wait for the weekend!,0
0,2,1,852,4,Follow for follow back. Click here for free money!,1
0,20,205,250,11,Exploring new places. Learning Python is fun!,0
1,69,248,293,25,Happy birthday to me!,0
1,60,1624,305,27,Had an amazing trip with friends. Working on my new project. Just had a great coffee!,0
1,63,101,251,34,Check out my latest photo.,0
1,52,905,277,28,Life is good.,0
0,2,6,967,2,DM for collaboration.,1
0,4,14,747,7,Win a free iPhone now. Win a free iPhone now.,1
1,74,916,242,20,Loving the weather today.,0
0,1,18,989,4,Discount codes available. Follow for follow back.,1
1,38,29,141,20,Check out my latest photo.,0
0,47,427,196,24,Check out my latest photo.,0
1,68,16,396,27,Check out my latest photo. Happy birthday to me!,0
1,60,47,399,46,Just had a great coffee! Working on my new project. Happy birthday to me!,0
1,2,24,975,1,Earn $500 daily easily! Earn $500 daily easily!,1
0,3,43,1393,1,Follow for follow back. Click here for free money!,1
1,4,37,680,1,Make money online fast. DM for collaboration.,1
0,0,93,828,6,Click here for free money!,1
0,13,2,967,3,Follow for follow back. Visit my profile for more. DM for collaboration.,1
1,37,215,280,35,Life is good. Life is good. Had an amazing trip with friends.,0
0,1,6,841,6,Click here for free money!,1
0,2,6,870,25,Discount codes available. Win a free iPhone now.,1
1,41,374,444,9,Check out my latest photo. Learning Python is fun!,0
0,0,18,768,1,DM for collaboration. Follow for follow back.,1
0,3,22,879,4,Click here for free money! Best deals on crypto. DM for collaboration.,1
0,0,21,1183,0,Visit my profile for more. Best deals on crypto. Visit my profile for more.,1
0,5,0,860,20,Discount codes available. Visit my profile for more.,1
1,67,1133,423,44,Exploring new places. Happy birthday to me! Had an amazing trip with friends.,0
1,1,2,767,12,Discount codes available. Earn $500 daily easily!,1
1,66,1028,438,37,Had an amazing trip with friends. Exploring new places.,0
1,64,862,233,32,Loving the weather today. Just had a great coffee! Loving the weather today.,0
1,35,296,413,25,Just had a great coffee! Exploring new places. Happy birthday to me!,0
1,45,12,430,36,Learning Python is fun! Had an amazing trip with friends.,0
0,5,19,964,7,Follow for follow back. DM for collaboration. Earn $500 daily easily!,1
1,10,25,856,4,DM for collaboration. Win a free iPhone now.,1
1,66,556,245,21,Exploring new places.,0
0,4,0,783,2,Earn $500 daily easily! Visit my profile for more.,1
0,0,17,965,10,Best deals on crypto. Visit my profile for more. Win a free iPhone now.,1
1,70,200,239,24,Learning Python is fun! Can't wait for the weekend! Had an amazing trip with friends.,0
1,42,242,367,37,Loving the weather today. Working on my new project. Working on my new project.,0
0,38,4,191,28,Just had a great coffee!,0
0,9,6,1183,4,Visit my profile for more. Follow for follow back.,1
1,65,368,450,34,Loving the weather today. Check out my latest photo. Exploring new places.,0
0,7,32,640,0,Make money online fast. DM for collaboration. Cheap luxury bags.,1
0,23,12,956,4,Cheap luxury bags. Discount codes available. Best deals on crypto.,1
1,2,13,1176,5,Best deals on crypto. Visit my profile for more.,1
1,15,86,314,30,Just had a great coffee!,0
1,42,7,357,45,Had an amazing trip with friends. Loving the weather today. Happy birthday to me!,0
0,0,12,1011,0,Discount codes available. Click here for free money!,1
1,9,1446,368,18,Had an amazing trip with friends.,0
0,5,9,1201,2,Cheap luxury bags. Best deals on crypto.,1
1,65,140,319,35,Check out my latest photo.,0
1,67,331,320,28,Exploring new places. Happy birthday to me! Had an amazing trip with friends.,0
0,0,0,882,3,DM for collaboration.,1
0,50,161,371,23,Happy birthday to me! Check out my latest photo.,0
1,49,1375,282,43,Loving the weather today.,0
1,41,41,193,14,Exploring new places.,0
1,42,507,388,22,Check out my latest photo. Learning Python is fun!,0
0,42,474,264,39,Life is good. Check out my latest photo.,0
0,2,2,922,4,Win a free iPhone now.,1
1,40,1174,291,26,Just had a great coffee! Can't wait for the weekend!,0
0,4,37,897,1,Win a free iPhone now. Earn $500 daily easily!,1
0,0,24,980,3,Earn $500 daily easily! Visit my profile for more. Best deals on crypto.,1
0,0,1,918,1,Click here for free money! Discount codes available. Win a free iPhone now.,1
1,89,34,151,42,Had an amazing trip with friends.,0
0,16,13,1077,0,Cheap luxury bags. Click here for free money! Best deals on crypto.,1
0,4,6,816,4,Best deals on crypto. Discount codes available.,1
1,54,61,430,30,Had an amazing trip with friends. Life is good.,0
1,26,109,311,20,Just had a great coffee!,0
0,5,15,764,7,Make money online fast. Discount codes available. DM for collaboration.,1
0,0,3,718,8,Cheap luxury bags. Make money online fast.,1
0,5,11,1234,4,Best deals on crypto. Click here for free money!,1
1,4,18,1226,2,Earn $500 daily easily!,1
0,2,28,766,0,Cheap luxury bags. Make money online fast. Follow for follow back.,1
1,62,1096,163,31,Had an amazing trip with friends.,0
1,47,155,238,36,Check out my latest photo. Just had a great coffee! Happy birthday to me!,0
1,61,266,196,44,Can't wait for the weekend! Learning Python is fun! Just had a great coffee!,0
0,3,12,857,5,Visit my profile for more.,1
0,2,7,894,3,Discount codes available.,1
0,2,8,754,7,Win a free iPhone now. Visit my profile for more. Make money online fast.,1
0,2,3,1284,1,Click here for free money! Win a free iPhone now. DM for collaboration.,1
1,21,859,468,23,Just had a great coffee! Can't wait for the weekend! Learning Python is fun!,0
1,60,781,365,22,Just had a great coffee! Just had a great coffee! Check out my latest photo.,0
1,43,1011,309,18,Can't wait for the weekend! Check out my latest photo. Exploring new places.,0
1,38,568,177,21,Learning Python is fun! Check out my latest photo.,0
0,13,23,1221,6,Discount codes available. Best deals on crypto.,1
1,66,182,372,40,Loving the weather today. Working on my new project. Can't wait for the weekend!,0
1,33,915,126,43,Exploring new places. Learning Python is fun!,0
0,32,127,1409,11,Make money online fast. Discount codes available. Click here for free money!,1
1,47,363,243,29,Exploring new places.,0
1,88,89,344,28,Exploring new places.,0
1,39,662,426,25,Can't wait for the weekend!,0
0,4,10,974,4,Make money online fast. Make money online fast.,1
1,49,142,275,30,Loving the weather today. Working on my new project. Loving the weather today.,0
0,21,7,788,1,Cheap luxury bags. Discount codes available.,1
0,0,7,525,15,Best deals on crypto. Best deals on crypto. Best deals on crypto.,1
0,12,57,974,3,Make money online fast. Follow for follow back. Earn $500 daily easily!,1
1,64,576,400,29,Can't wait for the weekend!,0
1,42,797,542,25,Just had a great coffee! Can't wait for the weekend! Had an amazing trip with friends.,0
1,72,162,242,31,Working on my new project.,0
1,71,205,418,36,Learning Python is fun!,0
0,26,186,507,33,Can't wait for the weekend! Exploring new places. Life is good.,0
1,54,587,403,35,Check out my latest photo. Learning Python is fun! Loving the weather today.,0
0,6,26,739,2,Make money online fast. Earn $500 daily easily!,1
0,4,4,936,12,Make money online fast. Earn $500 daily easily! Earn $500 daily easily!,1
1,56,69,351,0,Had an amazing trip with friends. Happy birthday to me! Can't wait for the weekend!,0
1,0,14,714,1,DM for collaboration. Click here for free money!,1
1,33,581,238,34,Loving the weather today.,0
0,2,21,1118,3,Make money online fast. DM for collaboration.,1
1,80,278,188,25,Exploring new places.,0
1,56,74,251,10,Loving the weather today. Working on my new project.,0
1,1,16,797,2,DM for collaboration. Discount codes available. Win a free iPhone now.,1
1,75,188,304,26,Loving the weather today.,0
0,14,24,1016,1,Win a free iPhone now. DM for collaboration.,1
0,6,18,994,1,Discount codes available.,1
1,8,42,999,0,Follow for follow back. Discount codes available. Win a free iPhone now.,1
0,0,8,578,6,Make money online fast. Make money online fast. Click here for free money!,1
1,34,409,148,27,Exploring new places. Check out my latest photo. Loving the weather today.,0
0,0,33,775,2,Make money online fast.,1
0,0,31,1147,0,DM for collaboration.,1
1,59,270,326,16,Happy birthday to me! Happy birthday to me!,0
0,7,44,938,10,Click here for free money! Click here for free money! Best deals on crypto.,1
1,36,378,405,42,Happy birthday to me! Life is good. Can't wait for the weekend!,0
1,6,2,843,0,Make money online fast. Earn $500 daily easily! DM for collaboration.,1
1,51,603,214,14,Working on my new project.,0
1,51,276,217,50,Loving the weather today. Can't wait for the weekend!,0
0,2,21,784,2,Earn $500 daily easily!,1
0,4,15,1021,18,Make money online fast. Cheap luxury bags. Cheap luxury bags.,1
1,58,61,201,28,Check out my latest photo. Working on my new project. Had an amazing trip with friends.,0
0,3,23,751,0,Earn $500 daily easily!,1
0,4,19,910,1,Discount codes available.,1
1,70,236,250,21,Life is good.,0
1,25,462,354,44,Just had a great coffee! Working on my new project.,0
0,1,15,969,7,Discount codes available. Follow for follow back.,1
1,70,69,372,28,Exploring new places. Check out my latest photo.,0
1,62,694,530,15,Loving the weather today. Can't wait for the weekend!,0
0,3,38,1032,2,Make money online fast. Discount codes available.,1
1,30,493,264,24,Happy birthday to me! Can't wait for the weekend!,0
0,6,4,809,3,Discount codes available. Earn $500 daily easily! Follow for follow back.,1
0,17,7,1050,10,Follow for follow back.,1
1,53,63,226,40,Happy birthday to me!,0
1,52,41,455,27,Loving the weather today.,0
1,4,261,418,29,Happy birthday to me! Learning Python is fun!,0
0,1,39,1294,0,Follow for follow back. Visit my profile for more.,1
1,51,661,151,30,Just had a great coffee! Just had a great coffee!,0
1,48,497,311,46,Working on my new project. Life is good. Can't wait for the weekend!,0
0,1,13,471,10,Cheap luxury bags. Follow for follow back.,1
1,2,3,723,3,DM for collaboration.,1
1,30,549,118,34,Just had a great coffee!,0
0,0,34,1093,3,Earn $500 daily easily! DM for collaboration.,1
0,1,15,1013,18,Cheap luxury bags. Visit my profile for more. Best deals on crypto.,1
1,23,20,1007,4,Best deals on crypto.,1
0,1,20,848,0,DM for collaboration.,1
0,5,15,1056,19,Discount codes available. Cheap luxury bags. DM for collaboration.,1
0,4,17,1032,6,Click here for free money! DM for collaboration.,1
1,66,196,165,38,Check out my latest photo.,0
0,5,19,742,2,Follow for follow back.,1
1,30,130,353,35,Learning Python is fun! Learning Python is fun!,0
0,3,10,1039,2,Follow for follow back. Follow for follow back.,1
1,21,175,95,42,Check out my latest photo. Learning Python is fun!,0
0,9,0,592,5,Cheap luxury bags. Click here for free money!,1
0,51,133,384,33,Learning Python is fun! Life is good.,0
1,1,16,820,2,Earn $500 daily easily!,1
1,9,3,1077,9,Click here for free money! Click here for free money!,1
0,2,11,953,0,Cheap luxury bags. Earn $500 daily easily!,1
1,4,7,1075,7,Make money online fast. Best deals on crypto. Earn $500 daily easily!,1
0,9,31,970,11,Win a free iPhone now.,1
0,13,3,997,4,DM for collaboration. Best deals on crypto. Discount codes available.,1
1,54,200,316,26,Working on my new project. Just had a great coffee!,0
0,0,4,855,4,Best deals on crypto. Best deals on crypto. Follow for follow back.,1
1,51,310,303,20,Working on my new project. Learning Python is fun!,0
1,3,7,1168,7,Follow for follow back. Make money online fast.,1
0,2,5,967,0,Follow for follow back. Win a free iPhone now. DM for collaboration.,1
1,15,5,1118,7,Click here for free money! Discount codes available.,1
1,1,15,931,8,Follow for follow back.,1
0,4,32,826,1,Best deals on crypto. DM for collaboration. Discount codes available.,1
1,78,298,284,32,Working on my new project. Can't wait for the weekend! Learning Python is fun!,0
0,17,9,1077,2,Cheap luxury bags.,1
1,29,368,389,34,Happy birthday to me! Happy birthday to me!,0
0,1,20,886,0,Follow for follow back. Discount codes available. Win a free iPhone now.,1
1,1,10,731,3,Follow for follow back.,1
1,23,701,337,28,Learning Python is fun! Just had a great coffee! Check out my latest photo.,0
0,1,8,777,0,Discount codes available.,1
0,0,7,921,0,Best deals on crypto.,1
0,1,17,1060,2,Click here for free money!,1
0,1,25,1332,13,Make money online fast. Cheap luxury bags. Make money online fast.,1
0,0,3,1163,5,Best deals on crypto. Click here for free money!,1
1,9,280,219,33,Just had a great coffee!,0
0,1,7,628,15,Make money online fast.,1
0,2,4,1069,0,Click here for free money! Earn $500 daily easily! Cheap luxury bags.,1
0,14,30,1198,12,Earn $500 daily easily! Best deals on crypto.,1
0,5,32,1026,1,Visit my profile for more. Earn $500 daily easily!,1
1,73,133,310,13,Just had a great coffee! Happy birthday to me!,0
1,10,0,405,1,Click here for free money!,1
0,16,1,1064,13,Make money online fast.,1
0,5,8,1081,2,Best deals on crypto. Visit my profile for more. Click here for free money!,1
0,1,42,910,8,Visit my profile for more. Best deals on crypto.,1
0,4,28,1262,3,DM for collaboration. Earn $500 daily easily!,1
1,106,285,252,23,Just had a great coffee!,0
1,20,1004,357,12,Life is good. Learning Python is fun!,0
1,23,296,287,37,Life is good. Exploring new places. Can't wait for the weekend!,0
1,47,248,334,26,Can't wait for the weekend! Life is good.,0
1,71,885,327,16,Just had a great coffee!,0
1,67,671,244,26,Happy birthday to me! Exploring new places. Exploring new places.,0
0,0,29,913,4,Follow for follow back.,1
1,7,70,869,4,Win a free iPhone now.,1
1,50,426,286,29,Life is good.,0
1,90,52,466,39,Check out my latest photo.,0
0,0,12,1233,0,Cheap luxury bags. Follow for follow back.,1
1,4,1,813,10,Follow for follow back.,1
1,0,34,1146,15,Earn $500 daily easily! Follow for follow back.,1
0,0,39,1283,2,Visit my profile for more. Visit my profile for more. DM for collaboration.,1
0,2,1,949,1,Discount codes available. DM for collaboration.,1
1,53,1093,433,36,Can't wait for the weekend! Working on my new project. Happy birthday to me!,0
1,54,601,238,31,Life is good.,0
1,8,15,652,0,DM for collaboration.,1
1,50,181,309,25,Had an amazing trip with friends. Check out my latest photo.,0
0,4,6,1101,0,Visit my profile for more. Click here for free money! Win a free iPhone now.,1
1,28,834,130,36,Exploring new places. Life is good.,0
1,56,563,279,32,Learning Python is fun! Check out my latest photo. Learning Python is fun!,0
1,45,828,88,31,Loving the weather today.,0
0,1,14,885,3,Follow for follow back.,1
1,68,182,309,31,Had an amazing trip with friends. Exploring new places.,0
1,0,61,272,14,Learning Python is fun! Life is good. Loving the weather today.,0
1,40,863,368,13,Just had a great coffee!,0
0,6,4,870,2,Visit my profile for more. Best deals on crypto. Discount codes available.,1
1,58,466,267,47,Working on my new project.,0
1,41,463,14,35,Had an amazing trip with friends.,0
0,3,1,1091,4,Cheap luxury bags. Win a free iPhone now.,1
0,1,2,1376,4,Follow for follow back. Follow for follow back. Best deals on crypto.,1
1,63,232,397,29,Had an amazing trip with friends.,0
1,43,108,314,17,Just had a great coffee! Life is good.,0
1,12,395,277,28,Learning Python is fun! Check out my latest photo.,0
1,0,25,1247,6,Visit my profile for more.,1
1,44,361,217,44,Life is good. Loving the weather today. Just had a great coffee!,0
0,3,46,1237,0,Make money online fast. Win a free iPhone now. Discount codes available.,1
1,70,581,242,28,Life is good. Happy birthday to me!,0
0,0,44,919,0,Earn $500 daily easily!,1
1,57,491,304,46,Exploring new places.,0
1,73,136,483,36,Loving the weather today. Working on my new project.,0
0,7,52,1289,3,Visit my profile for more.,1
1,31,55,233,15,Can't wait for the weekend!,0
1,14,196,292,17,Life is good. Life is good.,0
1,1,16,930,0,Earn $500 daily easily!,1
1,51,298,352,21,Just had a great coffee! Can't wait for the weekend!,0
0,2,30,821,21,Best deals on crypto.,1
0,9,26,1073,2,Follow for follow back. Visit my profile for more.,1
1,38,951,448,28,Check out my latest photo.,0
0,4,17,531,10,Click here for free money!,1
1,12,2,914,4,DM for collaboration. Cheap luxury bags.,1
1,23,285,297,32,Can't wait for the weekend! Can't wait for the weekend! Just had a great coffee!,0
0,34,672,377,26,Had an amazing trip with friends. Can't wait for the weekend! Check out my latest photo.,0
0,41,295,360,36,Had an amazing trip with friends.,0
1,84,108,442,33,Learning Python is fun! Working on my new project.,0
0,2,1,975,20,Make money online fast. Win a free iPhone now. Click here for free money!,1
0,0,34,715,2,Make money online fast.,1
0,3,8,839,0,Discount codes available.,1
1,58,142,371,31,Can't wait for the weekend! Life is good.,0
1,49,867,292,38,Learning Python is fun! Can't wait for the weekend!,0
1,47,23,189,30,Can't wait for the weekend! Exploring new places. Working on my new project.,0
1,41,143,238,26,Just had a great coffee! Can't wait for the weekend! Exploring new places.,0
1,56,544,386,12,Can't wait for the weekend!,0
1,32,302,289,27,Check out my latest photo. Had an amazing trip with friends. Had an amazing trip with friends.,0
1,40,303,482,29,Check out my latest photo. Happy birthday to me! Learning Python is fun!,0
0,7,16,1047,1,Follow for follow back. Earn $500 daily easily! Click here for free money!,1
1,78,38,274,13,Check out my latest photo. Had an amazing trip with friends. Can't wait for the weekend!,0
1,61,487,406,14,Can't wait for the weekend!,0
1,67,119,257,46,Exploring new places. Check out my latest photo. Happy birthday to me!,0
1,29,43,301,29,Working on my new project. Learning Python is fun!,0
1,54,1218,162,42,Just had a great coffee! Can't wait for the weekend!,0
1,46,54,299,2,Check out my latest photo.,0
0,22,9,1101,7,DM for collaboration. DM for collaboration. DM for collaboration.,1
1,45,442,320,26,Had an amazing trip with friends. Exploring new places.,0
0,2,13,1193,4,Best deals on crypto.,1
0,1,0,957,3,DM for collaboration.,1
1,36,271,209,44,Can't wait for the weekend! Working on my new project. Check out my latest photo.,0
0,17,10,1448,11,Best deals on crypto. Discount codes available. Cheap luxury bags.,1
1,2,8,803,0,Cheap luxury bags. Make money online fast.,1
0,1,57,1022,10,Follow for follow back.,1
1,48,600,261,25,Check out my latest photo.,0
1,37,1216,491,34,Happy birthday to me!,0
1,9,18,1235,13,Visit my profile for more.,1
0,3,10,724,4,Visit my profile for more. Follow for follow back.,1
1,1,23,743,3,Best deals on crypto.,1
0,8,7,853,1,Best deals on crypto. Discount codes available.,1
1,1,28,1150,0,Cheap luxury bags. Earn $500 daily easily!,1
1,50,106,224,29,Can't wait for the weekend! Loving the weather today.,0
0,42,2160,207,25,Learning Python is fun!,0
1,7,6,966,1,Win a free iPhone now. Earn $500 daily easily!,1
1,66,271,354,16,Exploring new places. Learning Python is fun! Loving the weather today.,0
1,2,390,451,28,Can't wait for the weekend! Happy birthday to me!,0
1,51,377,175,19,Life is good. Happy birthday to me!,0
1,54,1822,241,33,Happy birthday to me!,0
1,44,131,458,30,Can't wait for the weekend!,0
0,2,35,1231,1,Earn $500 daily easily! Best deals on crypto. Win a free iPhone now.,1
0,5,53,761,3,DM for collaboration. Make money online fast.,1
1,11,3,927,0,Best deals on crypto.,1
0,5,40,877,0,Make money online fast. Cheap luxury bags.,1
1,44,218,253,39,Can't wait for the weekend!,0
0,0,13,852,1,DM for collaboration.,1
0,3,17,792,16,DM for collaboration.,1
1,37,454,80,31,Loving the weather today.,0
1,32,1278,513,5,Can't wait for the weekend! Just had a great coffee! Working on my new project.,0
1,62,683,308,39,Can't wait for the weekend! Exploring new places. Working on my new project.,0
0,0,49,755,0,Earn $500 daily easily!,1
0,7,17,938,15,Click here for free money!,1
0,2,2,948,0,Win a free iPhone now. Discount codes available. Make money online fast.,1
1,86,637,207,47,Can't wait for the weekend! Had an amazing trip with friends. Exploring new places.,0
0,0,32,795,1,Follow for follow back.,1
1,23,325,133,23,Can't wait for the weekend! Life is good. Can't wait for the weekend!,0
1,9,11,1174,7,Best deals on crypto.,1
1,9,367,431,34,Exploring new places. Can't wait for the weekend!,0
1,44,536,305,22,Learning Python is fun! Happy birthday to me!,0
1,31,76,198,45,Check out my latest photo.,0
1,20,28,1137,7,Discount codes available. Win a free iPhone now.,1
1,49,201,342,33,Can't wait for the weekend! Check out my latest photo.,0
0,117,702,196,32,Exploring new places.,0
